,7d_avg top,30d_avg top,60d_avg top,90d_avg top,7d_avg,30d_avg,60d_avg,90d_avg,name,7d_score,30d_score,60d_score,90d_score
14,42.40720028933333,276.07827040866664,868.02564225,1319.2926320146667,19.67074224571428,83.49518805696428,333.28132453624994,636.5006754078571,"price(1, 100.0),mkCap[ 9 11]",31.831474714495243,151.22411097133974,557.5796564823829,1085.545780305763
11,38.80639098666666,362.03369371133334,1164.6244361046668,1647.1037316633333,17.87659774489796,121.28296172857144,486.3627909471429,836.8727139387756,"price(0.1, 10.0),mkCap[ 9 11]",29.33882030105925,204.27983727206902,770.1211856651976,1379.1392550489663
12,103.657205464,741.8271861866667,3814.686733100667,2920.9585340940002,25.23304032476564,79.12186929859371,375.2819005901562,2823.5865678231235,"price(1, 100.0),mkCap[6 8]",47.29951710583616,221.26538696558774,1108.3884563155461,3706.049725729771
8,26.56993269333333,278.74359301733335,979.4724523253334,1529.1319193086667,19.5936689272,171.14274003120002,689.6382610904001,1200.4943908728,"price(0.01, 1),mkCap[ 9 11]",28.497842887094436,239.36147636112096,936.6933367656585,1709.5652189575346
13,91.65236590666667,910.3168572086666,4273.389032974,3336.7199769286667,26.87287880445514,90.16318850820515,401.1150933608012,2506.602430318429,"price(1, 100.0),mkCap[7 9]",47.20093192172675,255.8906349757038,1203.9346528937833,3494.749978164327
9,147.31878473266667,970.4032479366667,2880.9620306580005,2400.5058364573333,29.656469349087114,92.19423300311206,278.52494532514544,1623.2981300037138,"price(0.1, 10.0),mkCap[6 8]",57.550123920683845,266.06004016723966,864.1639955901983,2370.189345060823
10,149.05874851466666,1324.0530314306668,3109.0525553506673,3123.4847199593337,30.76762553121401,123.15186956300411,365.1869757260904,1769.1811665494863,"price(0.1, 10.0),mkCap[7 9]",58.88048233059255,342.6490950388329,987.6340797932501,2703.388942534203
6,213.7562261833333,1349.3522143300002,2496.018599695333,2881.9437123566668,34.36480296252393,123.2010591059745,345.5975252828435,499.8986444728918,"price(0.01, 1),mkCap[6 8]",70.11506112673531,345.836343431091,867.7510978894859,1372.3328209255233
0,361.04292573,952.0856785693333,1729.8223711206667,4009.0772318340005,95.93510983635136,256.9561075513511,514.9821344945949,1124.104638578379,"price(0, 0.001),mkCap[6 8]",146.638760138167,428.3546105101003,904.3868510589788,2279.1199973549765
4,186.41150163999998,2374.330499676667,2119.094762306667,2904.707355145333,36.642757832346156,181.63407391913452,377.33930849825026,523.5029192939801,"price(0.001, 0.1),mkCap[6 8]",69.27511681682599,521.7726415339979,835.3971291229464,1401.7910764420558
2,412.25548856999995,2255.2717295246666,1680.1255528013332,2943.008547474667,50.42798122360002,249.8085521436801,348.96076356064015,521.2803720754401,"price(0.0001, 0.01),mkCap[6 8]",105.81963065071818,577.0732474356491,729.389565518927,1409.4027128849368
1,307.1173214413333,774.8198289353332,779.2101519733334,1422.6535090133334,256.02253245055556,643.3634316133333,652.4165084722222,1196.9237137294444,"price(0, 0.001),mkCap[7 9]",301.54259752568055,790.2224242491475,858.1588516712733,1675.7018044256777
